place_iri,place_label,target_authority,target_iri,target_browse_url,judgment,notes
urn:voices:place:buchenwald-germany-concentration-camp,Buchenwald Germany Concentration Camp,geonames,https://sws.geonames.org/13511401/,https://www.geonames.org/13511401,unsure,no Wikidata data for this target
urn:voices:place:burgas-bulgaria-district,Burgas Bulgaria District,geonames,https://sws.geonames.org/727261/,https://www.geonames.org/727261,correct,country match (label=Shivachevo)
urn:voices:place:caen-calvados-france,Caen Calvados France,geonames,https://sws.geonames.org/3029241/,https://www.geonames.org/3029241,correct,country match (label=Caen)
urn:voices:place:calvados-france-department,Calvados France Department,geonames,https://sws.geonames.org/3028537/,https://www.geonames.org/3028537,unsure,no Wikidata data for this target
urn:voices:place:casablanca-morocco,Casablanca Morocco,geonames,https://sws.geonames.org/2553604/,https://www.geonames.org/2553604,unsure,unknown country token in slug (None)
urn:voices:place:chabannes-creuse-france,Chabannes Creuse France,geonames,https://sws.geonames.org/3027715/,https://www.geonames.org/3027715,unsure,no Wikidata data for this target
urn:voices:place:cieszyn-slask-poland,Cieszyn Slask Poland,geonames,https://sws.geonames.org/3101321/,https://www.geonames.org/3101321,correct,country match (label=Cieszyn)
urn:voices:place:college-park-maryland-usa,College Park Maryland Usa,geonames,https://sws.geonames.org/4351977/,https://www.geonames.org/4351977,correct,country match (label=College Park)
urn:voices:place:colombo-sri-lanka,Colombo Sri Lanka,geonames,https://sws.geonames.org/1248991/,https://www.geonames.org/1248991,unsure,unknown country token in slug (None)
urn:voices:place:colorado-usa-state,Colorado Usa State,geonames,https://sws.geonames.org/5424092/,https://www.geonames.org/5424092,correct,country match (label=Gunnison County)
urn:voices:place:comlausa-romania,Comlausa Romania,geonames,https://sws.geonames.org/680995/,https://www.geonames.org/680995,correct,country match (label=Comlăușa)
urn:voices:place:crete-nebraska-usa-generic,Crete Nebraska Usa Generic,geonames,https://sws.geonames.org/5066435/,https://www.geonames.org/5066435,correct,country match (label=Crete)
urn:voices:place:cuba,Cuba,geonames,https://sws.geonames.org/3553478/,https://www.geonames.org/3553478,unsure,unknown country token in slug (None)
urn:voices:place:czarny-dunajec-poland,Czarny Dunajec Poland,geonames,https://sws.geonames.org/3101114/,https://www.geonames.org/3101114,correct,country match (label=Czarny Dunajec)
urn:voices:place:czech-republic,Czech Republic,geonames,https://sws.geonames.org/3077311/,https://www.geonames.org/3077311,correct,country match (label=Czech Republic)
urn:voices:place:denver-colorado-usa,Denver Colorado Usa,geonames,https://sws.geonames.org/5419384/,https://www.geonames.org/5419384,correct,country match (label=Denver)
urn:voices:place:dieren-netherlands,Dieren Netherlands,geonames,https://sws.geonames.org/2756865/,https://www.geonames.org/2756865,correct,country match (label=Dieren)
urn:voices:place:dinxperlo-netherlands,Dinxperlo Netherlands,geonames,https://sws.geonames.org/2756793/,https://www.geonames.org/2756793,correct,country match (label=Dinxperlo)
urn:voices:place:dominican-republic,Dominican Republic,geonames,https://sws.geonames.org/3509382/,https://www.geonames.org/3509382,unsure,unknown country token in slug (None)
urn:voices:place:dorohusk-poland,Dorohusk Poland,geonames,https://sws.geonames.org/773014/,https://www.geonames.org/773014,correct,country match (label=Dorohusk)
urn:voices:place:duisburg-germany,Duisburg Germany,geonames,https://sws.geonames.org/2934691/,https://www.geonames.org/2934691,correct,country match (label=lsjbot Duisburg)
urn:voices:place:eberbach-baden-germany,Eberbach Baden Germany,geonames,https://sws.geonames.org/2934020/,https://www.geonames.org/2934020,correct,country match (label=Eberbach)
urn:voices:place:eisern-germany,Eisern Germany,geonames,https://sws.geonames.org/2931441/,https://www.geonames.org/2931441,correct,country match (label=Eisern)
urn:voices:place:elkhart-indiana-usa,Elkhart Indiana Usa,geonames,https://sws.geonames.org/4919987/,https://www.geonames.org/4919987,correct,country match (label=Elkhart)
urn:voices:place:ellwood-city-pennsylvania-usa,Ellwood City Pennsylvania Usa,geonames,https://sws.geonames.org/5188609/,https://www.geonames.org/5188609,correct,country match (label=Ellwood City)
urn:voices:place:elmhurst-usa-generic,Elmhurst Usa Generic,geonames,https://sws.geonames.org/4891010/,https://www.geonames.org/4891010,correct,country match (label=Elmhurst)
urn:voices:place:engelberg-switzerland,Engelberg Switzerland,geonames,https://sws.geonames.org/2660902/,https://www.geonames.org/2660902,correct,country match (label=Q22409928)
urn:voices:place:england-uk-administrative-unit,England Uk Administrative Unit,geonames,https://sws.geonames.org/2643743/,https://www.geonames.org/2643743,correct,country match (label=London)
urn:voices:place:erding-germany,Erding Germany,geonames,https://sws.geonames.org/2929715/,https://www.geonames.org/2929715,correct,country match (label=Erding)
urn:voices:place:falaise-calvados-france,Falaise Calvados France,geonames,https://sws.geonames.org/3019113/,https://www.geonames.org/3019113,unsure,no Wikidata data for this target
urn:voices:place:furth-germany-generic,Furth Germany Generic,geonames,https://sws.geonames.org/2923529/,https://www.geonames.org/2923529,correct,country match (label=Furth im Wald)
urn:voices:place:garden-city-new-york-usa,Garden City New York Usa,geonames,https://sws.geonames.org/5118226/,https://www.geonames.org/5118226,correct,country match (label=Garden City)
urn:voices:place:goldbach-germany-generic,Goldbach Germany Generic,geonames,https://sws.geonames.org/2919438/,https://www.geonames.org/2919438,unsure,no Wikidata data for this target
urn:voices:place:guelph-ontario-canada,Guelph Ontario Canada,geonames,https://sws.geonames.org/5967629/,https://www.geonames.org/5967629,correct,country match (label=Guelph)
urn:voices:place:gyula-hungary,Gyula Hungary,geonames,https://sws.geonames.org/720334/,https://www.geonames.org/720334,correct,country match (label=Gyula)
urn:voices:place:hamburg-germany,Hamburg Germany,geonames,https://sws.geonames.org/2911285/,https://www.geonames.org/2911285,correct,country match (label=Wandsbek)
urn:voices:place:harz-mountains,Harz Mountains,geonames,https://sws.geonames.org/2909965/,https://www.geonames.org/2909965,unsure,unknown country token in slug (None)
urn:voices:place:helmbrechts-upper-franconia-bavaria-germany,Helmbrechts Upper Franconia Bavaria Germany,geonames,https://sws.geonames.org/2906744/,https://www.geonames.org/2906744,correct,country match (label=Helmbrechts)
urn:voices:place:hillcrest-usa-generic,Hillcrest Usa Generic,geonames,https://sws.geonames.org/4895936/,https://www.geonames.org/4895936,correct,country match (label=Hillcrest)
urn:voices:place:hiroshima-japan,Hiroshima Japan,geonames,https://sws.geonames.org/1862415/,https://www.geonames.org/1862415,unsure,unknown country token in slug (None)
urn:voices:place:hohenfels-bavaria-germany,Hohenfels Bavaria Germany,geonames,https://sws.geonames.org/2901774/,https://www.geonames.org/2901774,correct,country match (label=Hohenfels)
urn:voices:place:hoof-germany-generic,Hoof Germany Generic,geonames,https://sws.geonames.org/2899295/,https://www.geonames.org/2899295,unsure,no Wikidata data for this target
urn:voices:place:ilk-hungary,Ilk Hungary,geonames,https://sws.geonames.org/719788/,https://www.geonames.org/719788,correct,country match (label=Ilk)
urn:voices:place:indianapolis-indiana-usa,Indianapolis Indiana Usa,geonames,https://sws.geonames.org/4259418/,https://www.geonames.org/4259418,correct,country match (label=Indianapolis)
urn:voices:place:ithaca-usa-generic,Ithaca Usa Generic,geonames,https://sws.geonames.org/5122432/,https://www.geonames.org/5122432,correct,country match (label=Ithaca)
urn:voices:place:iwonicz-poland-concentration-camp,Iwonicz Poland Concentration Camp,geonames,https://sws.geonames.org/770760/,https://www.geonames.org/770760,correct,country match (label=Iwonicz)
urn:voices:place:johannesburg-south-africa,Johannesburg South Africa,geonames,https://sws.geonames.org/993800/,https://www.geonames.org/993800,correct,country match (label=Johannesburg)
urn:voices:place:jouy-en-josas-france,Jouy En Josas France,geonames,https://sws.geonames.org/3012165/,https://www.geonames.org/3012165,correct,country match (label=Jouy-en-Josas)
urn:voices:place:jouy-france-generic,Jouy France Generic,geonames,https://sws.geonames.org/3012165/,https://www.geonames.org/3012165,correct,country match (label=Jouy-en-Josas)
urn:voices:place:kaiserslautern-germany,Kaiserslautern Germany,geonames,https://sws.geonames.org/2894003/,https://www.geonames.org/2894003,correct,country match (label=Kaiserslautern)
urn:voices:place:kalvarija-lithuania,Kalvarija Lithuania,geonames,https://sws.geonames.org/598512/,https://www.geonames.org/598512,correct,country match (label=Kalvarija)
urn:voices:place:kankakee-illinois-usa,Kankakee Illinois Usa,geonames,https://sws.geonames.org/4898182/,https://www.geonames.org/4898182,correct,country match (label=Kankakee)
urn:voices:place:kemnitz-germany-generic,Kemnitz Germany Generic,geonames,https://sws.geonames.org/6548275/,https://www.geonames.org/6548275,correct,country match (label=Kemnitz)
urn:voices:place:kenya,Kenya,geonames,https://sws.geonames.org/184745/,https://www.geonames.org/184745,unsure,unknown country token in slug (None)
urn:voices:place:kinneret-israel,Kinneret Israel,geonames,https://sws.geonames.org/294462/,https://www.geonames.org/294462,correct,country match (label=Kvutzat Kinneret)
urn:voices:place:kittsee-austria,Kittsee Austria,geonames,https://sws.geonames.org/2774348/,https://www.geonames.org/2774348,correct,country match (label=Kittsee)
urn:voices:place:koluszki-poland,Koluszki Poland,geonames,https://sws.geonames.org/3095413/,https://www.geonames.org/3095413,correct,country match (label=Koluszki)
urn:voices:place:konin-l-dz-poland,Konin L Dz Poland,geonames,https://sws.geonames.org/3095322/,https://www.geonames.org/3095322,correct,"country match (label=Konin, Łódź Voivodeship)"
urn:voices:place:lambesc-france,Lambesc France,geonames,https://sws.geonames.org/3008208/,https://www.geonames.org/3008208,correct,country match (label=Lambesc)
urn:voices:place:lassee-austria,Lassee Austria,geonames,https://sws.geonames.org/2772902/,https://www.geonames.org/2772902,correct,country match (label=Lassee)
urn:voices:place:leoben-austria-generic,Leoben Austria Generic,geonames,https://sws.geonames.org/2772649/,https://www.geonames.org/2772649,correct,country match (label=Leoben)
urn:voices:place:lieberose-germany,Lieberose Germany,geonames,https://sws.geonames.org/2877932/,https://www.geonames.org/2877932,correct,country match (label=Lieberose)
urn:voices:place:limburg-netherlands-province,Limburg Netherlands Province,geonames,https://sws.geonames.org/2747203/,https://www.geonames.org/2747203,correct,country match (label=Sittard)
urn:voices:place:manchester-england-uk,Manchester England Uk,geonames,https://sws.geonames.org/2643123/,https://www.geonames.org/2643123,correct,country match (label=Manchester)
urn:voices:place:martinique,Martinique,geonames,https://sws.geonames.org/3570675/,https://www.geonames.org/3570675,unsure,unknown country token in slug (None)
urn:voices:place:micronesia,Micronesia,geonames,https://sws.geonames.org/7729900/,https://www.geonames.org/7729900,unsure,unknown country token in slug (None)
urn:voices:place:mielec-poland,Mielec Poland,geonames,https://sws.geonames.org/764849/,https://www.geonames.org/764849,correct,country match (label=Mielec)
urn:voices:place:minneapolis-minnesota-usa,Minneapolis Minnesota Usa,geonames,https://sws.geonames.org/5037649/,https://www.geonames.org/5037649,correct,country match (label=Minneapolis)
urn:voices:place:monte-carlo-monaco,Monte Carlo Monaco,geonames,https://sws.geonames.org/2992741/,https://www.geonames.org/2992741,unsure,unknown country token in slug (None)
urn:voices:place:monte-cassino-italy,Monte Cassino Italy,geonames,https://sws.geonames.org/3173005/,https://www.geonames.org/3173005,correct,country match (label=Abbey of Monte Cassino)
urn:voices:place:nagycenk-hungary,Nagycenk Hungary,geonames,https://sws.geonames.org/3047781/,https://www.geonames.org/3047781,correct,country match (label=Nagycenk)
urn:voices:place:neu-ulm-germany-dp-camp,Neu Ulm Germany Dp Camp,geonames,https://sws.geonames.org/2863941/,https://www.geonames.org/2863941,correct,country match (label=Neu-Ulm)
urn:voices:place:oberlauringen-germany,Oberlauringen Germany,geonames,https://sws.geonames.org/2859953/,https://www.geonames.org/2859953,unsure,no Wikidata data for this target
urn:voices:place:odense-denmark-county-historical,Odense Denmark County Historical,geonames,https://sws.geonames.org/2620244/,https://www.geonames.org/2620244,unsure,no Wikidata data for this target
urn:voices:place:olaszliszka-hungary,Olaszliszka Hungary,geonames,https://sws.geonames.org/716828/,https://www.geonames.org/716828,correct,country match (label=Olaszliszka)
urn:voices:place:pankow-germany-generic,Pankow Germany Generic,geonames,https://sws.geonames.org/2855598/,https://www.geonames.org/2855598,correct,country match (label=Pankow)
urn:voices:place:peekskill-new-york-usa,Peekskill New York Usa,geonames,https://sws.geonames.org/5130831/,https://www.geonames.org/5130831,correct,country match (label=Peekskill)
urn:voices:place:philippines,Philippines,geonames,https://sws.geonames.org/1699597/,https://www.geonames.org/1699597,unsure,unknown country token in slug (None)
urn:voices:place:piotrowice-poland-generic,Piotrowice Poland Generic,geonames,https://sws.geonames.org/762163/,https://www.geonames.org/762163,unsure,no Wikidata data for this target
urn:voices:place:poing-germany,Poing Germany,geonames,https://sws.geonames.org/6556158/,https://www.geonames.org/6556158,correct,country match (label=Poing)
urn:voices:place:port-de-bouc-france,Port De Bouc France,geonames,https://sws.geonames.org/2986025/,https://www.geonames.org/2986025,correct,country match (label=Port-de-Bouc)
urn:voices:place:poughkeepsie-usa-generic,Poughkeepsie Usa Generic,geonames,https://sws.geonames.org/5132143/,https://www.geonames.org/5132143,correct,country match (label=Poughkeepsie)
urn:voices:place:princeton-usa-generic,Princeton Usa Generic,geonames,https://sws.geonames.org/5102922/,https://www.geonames.org/5102922,correct,country match (label=Princeton)
urn:voices:place:pruchnik-poland,Pruchnik Poland,geonames,https://sws.geonames.org/761255/,https://www.geonames.org/761255,correct,country match (label=Pruchnik)
urn:voices:place:putnok-hungary,Putnok Hungary,geonames,https://sws.geonames.org/716247/,https://www.geonames.org/716247,correct,country match (label=Putnok)
urn:voices:place:rakow-poland-generic,Rakow Poland Generic,geonames,https://sws.geonames.org/760657/,https://www.geonames.org/760657,correct,country match (label=Raków)
urn:voices:place:rheydt-germany,Rheydt Germany,geonames,https://sws.geonames.org/2847585/,https://www.geonames.org/2847585,correct,country match (label=Rheydt)
urn:voices:place:rhineland-prussia-germany-province,Rhineland Prussia Germany Province,geonames,https://sws.geonames.org/2805753/,https://www.geonames.org/2805753,unsure,no Wikidata data for this target
urn:voices:place:rio-de-janeiro-brazil-state,Rio De Janeiro Brazil State,geonames,https://sws.geonames.org/3451190/,https://www.geonames.org/3451190,unsure,no Wikidata data for this target
urn:voices:place:saloniki-greece-concentration-camp,Saloniki Greece Concentration Camp,geonames,https://sws.geonames.org/734077/,https://www.geonames.org/734077,correct,country match (label=Thessaloniki)
urn:voices:place:scheveningen-netherlands,Scheveningen Netherlands,geonames,https://sws.geonames.org/2747599/,https://www.geonames.org/2747599,unsure,no Wikidata data for this target
urn:voices:place:schw-bisch-hall-germany,Schw Bisch Hall Germany,geonames,https://sws.geonames.org/2905306/,https://www.geonames.org/2905306,unsure,no Wikidata data for this target
urn:voices:place:schweinfurt-germany,Schweinfurt Germany,geonames,https://sws.geonames.org/2834498/,https://www.geonames.org/2834498,correct,country match (label=Schweinfurt)
urn:voices:place:sicily-italy-island,Sicily Italy Island,geonames,https://sws.geonames.org/2523118/,https://www.geonames.org/2523118,correct,country match (label=Sicily)
urn:voices:place:sidney-usa-generic,Sidney Usa Generic,geonames,https://sws.geonames.org/5172078/,https://www.geonames.org/5172078,correct,country match (label=Sidney)
urn:voices:place:south-america,South America,geonames,https://sws.geonames.org/3625428/,https://www.geonames.org/3625428,unsure,unknown country token in slug (None)
urn:voices:place:south-bend-indiana-usa,South Bend Indiana Usa,geonames,https://sws.geonames.org/4926563/,https://www.geonames.org/4926563,correct,country match (label=South Bend)
urn:voices:place:south-carolina-usa-state,South Carolina Usa State,geonames,https://sws.geonames.org/4588718/,https://www.geonames.org/4588718,correct,country match (label=Myrtle Beach)
urn:voices:place:stalowa-wola-poland-concentration-camp,Stalowa Wola Poland Concentration Camp,geonames,https://sws.geonames.org/758445/,https://www.geonames.org/758445,correct,country match (label=Stalowa Wola)
urn:voices:place:szebnie-poland,Szebnie Poland,geonames,https://sws.geonames.org/757352/,https://www.geonames.org/757352,correct,country match (label=Szebnie)
urn:voices:place:szubin-poland,Szubin Poland,geonames,https://sws.geonames.org/3083611/,https://www.geonames.org/3083611,correct,country match (label=Szubin)
urn:voices:place:tarn-et-garonne-france-department,Tarn Et Garonne France Department,geonames,https://sws.geonames.org/2993002/,https://www.geonames.org/2993002,correct,country match (label=Montauban)
urn:voices:place:tatra-mountains,Tatra Mountains,geonames,https://sws.geonames.org/11102654/,https://www.geonames.org/11102654,unsure,unknown country token in slug (None)
urn:voices:place:thailand,Thailand,geonames,https://sws.geonames.org/12644757/,https://www.geonames.org/12644757,unsure,no Wikidata data for this target
urn:voices:place:the-hague-netherlands,The Hague Netherlands,geonames,https://sws.geonames.org/2747373/,https://www.geonames.org/2747373,correct,country match (label=The Hague)
urn:voices:place:tokaj-hungary,Tokaj Hungary,geonames,https://sws.geonames.org/714659/,https://www.geonames.org/714659,correct,country match (label=Tokaj)
urn:voices:place:toorak-victoria-australia,Toorak Victoria Australia,geonames,https://sws.geonames.org/2146291/,https://www.geonames.org/2146291,correct,country match (label=Toorak)
urn:voices:place:tournai-belgium,Tournai Belgium,geonames,https://sws.geonames.org/2785341/,https://www.geonames.org/2785341,correct,country match (label=Tournai)
urn:voices:place:tours-france,Tours France,geonames,https://sws.geonames.org/2972191/,https://www.geonames.org/2972191,correct,country match (label=Tours)
urn:voices:place:trzebinia-cracow-poland,Trzebinia Cracow Poland,geonames,https://sws.geonames.org/3083111/,https://www.geonames.org/3083111,correct,country match (label=Trzebinia)
urn:voices:place:unterriexingen-germany-concentration-camp,Unterriexingen Germany Concentration Camp,geonames,https://sws.geonames.org/2818845/,https://www.geonames.org/2818845,correct,country match (label=Unterriexingen)
urn:voices:place:waldlager-germany-concentration-camp-generic,Waldlager Germany Concentration Camp Generic,geonames,https://sws.geonames.org/2814872/,https://www.geonames.org/2814872,unsure,no Wikidata data for this target
urn:voices:place:wittenburg-germany-generic,Wittenburg Germany Generic,geonames,https://sws.geonames.org/2807335/,https://www.geonames.org/2807335,unsure,no Wikidata data for this target
urn:voices:place:woodmere-usa-generic,Woodmere Usa Generic,geonames,https://sws.geonames.org/4346615/,https://www.geonames.org/4346615,correct,country match (label=Woodmere)
urn:voices:place:yeovil-somerset-england-uk,Yeovil Somerset England Uk,geonames,https://sws.geonames.org/2633373/,https://www.geonames.org/2633373,correct,country match (label=Yeovil)
urn:voices:place:yonkers-new-york-usa,Yonkers New York Usa,geonames,https://sws.geonames.org/5145215/,https://www.geonames.org/5145215,correct,country match (label=Yonkers)
urn:voices:place:aid-giving,Aid Giving,wikidata,https://www.wikidata.org/entity/Q2251595,https://www.wikidata.org/wiki/Q2251595,unsure,unknown country token in slug (None)
urn:voices:place:asbest-sverdlovsk-russia-ussr-generic,Asbest Sverdlovsk Russia Ussr Generic,wikidata,https://www.wikidata.org/entity/Q104059,https://www.wikidata.org/wiki/Q104059,correct,historical successor state OK (label=Asbest)
urn:voices:place:barns,Barns,wikidata,https://www.wikidata.org/entity/Q808532,https://www.wikidata.org/wiki/Q808532,unsure,unknown country token in slug (None)
urn:voices:place:berdichev-zhitomir-ukraine-ussr,Berdichev Zhitomir Ukraine Ussr,wikidata,https://www.wikidata.org/entity/Q158799,https://www.wikidata.org/wiki/Q158799,correct,historical successor state OK (label=Berdychiv)
urn:voices:place:bolkenhain-germany,Bolkenhain Germany,wikidata,https://www.wikidata.org/entity/Q774352,https://www.wikidata.org/wiki/Q774352,correct,historical successor state OK (label=Bolków)
urn:voices:place:bukowina-cracow-poland-generic,Bukowina Cracow Poland Generic,wikidata,https://www.wikidata.org/entity/Q105206,https://www.wikidata.org/wiki/Q105206,correct,historical successor state OK (label=Bukovina)
urn:voices:place:canadian-jewish-congress,Canadian Jewish Congress,wikidata,https://www.wikidata.org/entity/Q1032173,https://www.wikidata.org/wiki/Q1032173,unsure,unknown country token in slug (None)
urn:voices:place:charlottenlund-copenhagen-denmark,Charlottenlund Copenhagen Denmark,wikidata,https://www.wikidata.org/entity/Q1373658,https://www.wikidata.org/wiki/Q1373658,correct,country match (label=Charlottenlund)
urn:voices:place:dabrowica-wolyn-poland,Dabrowica Wolyn Poland,wikidata,https://www.wikidata.org/entity/Q4165786,https://www.wikidata.org/wiki/Q4165786,correct,country match (label=Dąbrowica)
urn:voices:place:dobra-turek-l-dz-poland,Dobra Turek L Dz Poland,wikidata,https://www.wikidata.org/entity/Q37303431,https://www.wikidata.org/wiki/Q37303431,unsure,Wikidata has no P17 (country) for the target
urn:voices:place:dolina-slovakia-czechoslovakia-generic,Dolina Slovakia Czechoslovakia Generic,wikidata,https://www.wikidata.org/entity/Q43386894,https://www.wikidata.org/wiki/Q43386894,correct,historical successor state OK (label=Dolina)
urn:voices:place:donbas-ussr-region,Donbas Ussr Region,wikidata,https://www.wikidata.org/entity/Q12101971,https://www.wikidata.org/wiki/Q12101971,unsure,Wikidata has no P17 (country) for the target
urn:voices:place:donskoe-kazakhstan-ussr-generic,Donskoe Kazakhstan Ussr Generic,wikidata,https://www.wikidata.org/entity/Q4166373,https://www.wikidata.org/wiki/Q4166373,correct,"historical successor state OK (label=Donskoye, Lipetsk Oblast)"
urn:voices:place:ejszyszki-poland,Ejszyszki Poland,wikidata,https://www.wikidata.org/entity/Q58880,https://www.wikidata.org/wiki/Q58880,correct,historical successor state OK (label=Eišiškės)
urn:voices:place:gablonz-bohemia-czechoslovakia-concentration-camp,Gablonz Bohemia Czechoslovakia Concentration Camp,wikidata,https://www.wikidata.org/entity/Q122135199,https://www.wikidata.org/wiki/Q122135199,unsure,Wikidata has no P17 (country) for the target
urn:voices:place:golleschau-poland-concentration-camp,Golleschau Poland Concentration Camp,wikidata,https://www.wikidata.org/entity/Q23858029,https://www.wikidata.org/wiki/Q23858029,unsure,Wikidata has no P17 (country) for the target
urn:voices:place:haidari-greece-concentration-camp,Haidari Greece Concentration Camp,wikidata,https://www.wikidata.org/entity/Q37223652,https://www.wikidata.org/wiki/Q37223652,unsure,Wikidata has no P17 (country) for the target
urn:voices:place:home-guard,Home Guard,wikidata,https://www.wikidata.org/entity/Q1093558,https://www.wikidata.org/wiki/Q1093558,unsure,unknown country token in slug (None)
urn:voices:place:horodenka-stanislaw-w-poland,Horodenka Stanislaw W Poland,wikidata,https://www.wikidata.org/entity/Q157520,https://www.wikidata.org/wiki/Q157520,correct,historical successor state OK (label=Horodenka)
urn:voices:place:iasi-moldova-romania,Iasi Moldova Romania,wikidata,https://www.wikidata.org/entity/Q99909585,https://www.wikidata.org/wiki/Q99909585,unsure,Wikidata has no P17 (country) for the target
urn:voices:place:isle-of-man-uk,Isle Of Man Uk,wikidata,https://www.wikidata.org/entity/Q28033646,https://www.wikidata.org/wiki/Q28033646,incorrect,"country mismatch (slug=uk/Q145, target=Q16, label=Peveril)"
urn:voices:place:kabelwerk,Kabelwerk,wikidata,https://www.wikidata.org/entity/Q1696969,https://www.wikidata.org/wiki/Q1696969,unsure,unknown country token in slug (None)
urn:voices:place:kanada-auschwitz-ii-birkenau,Kanada Auschwitz Ii Birkenau,wikidata,https://www.wikidata.org/entity/Q10543249,https://www.wikidata.org/wiki/Q10543249,unsure,unknown country token in slug (None)
urn:voices:place:kaunas-lithuania-district,Kaunas Lithuania District,wikidata,https://www.wikidata.org/entity/Q11888813,https://www.wikidata.org/wiki/Q11888813,correct,country match (label=Pravieniškės)
urn:voices:place:kerpen-prussia-germany-generic,Kerpen Prussia Germany Generic,wikidata,https://www.wikidata.org/entity/Q16798644,https://www.wikidata.org/wiki/Q16798644,unsure,Wikidata has no P17 (country) for the target
urn:voices:place:kiwerce-wolyn-poland-generic,Kiwerce Wolyn Poland Generic,wikidata,https://www.wikidata.org/entity/Q148890,https://www.wikidata.org/wiki/Q148890,correct,historical successor state OK (label=Kivertsi)
urn:voices:place:komi-russia-ussr-autonomous-soviet-socialist-republic,Komi Russia Ussr Autonomous Soviet Socialist Republic,wikidata,https://www.wikidata.org/entity/Q4227278,https://www.wikidata.org/wiki/Q4227278,correct,historical successor state OK (label=Kokvitsy)
urn:voices:place:kosice-czechoslovakia-generic,Kosice Czechoslovakia Generic,wikidata,https://www.wikidata.org/entity/Q776788,https://www.wikidata.org/wiki/Q776788,correct,historical successor state OK (label=Kosice)
urn:voices:place:krasnostav-ukraine-ussr-generic,Krasnostav Ukraine Ussr Generic,wikidata,https://www.wikidata.org/entity/Q4239085,https://www.wikidata.org/wiki/Q4239085,correct,historical successor state OK (label=Krasnostav)
urn:voices:place:krynica-cracow-poland,Krynica Cracow Poland,wikidata,https://www.wikidata.org/entity/Q21651104,https://www.wikidata.org/wiki/Q21651104,correct,historical successor state OK (label=Krynica)
urn:voices:place:latrun-west-bank,Latrun West Bank,wikidata,https://www.wikidata.org/entity/Q1670976,https://www.wikidata.org/wiki/Q1670976,unsure,unknown country token in slug (None)
urn:voices:place:levice-slovakia-czechoslovakia,Levice Slovakia Czechoslovakia,wikidata,https://www.wikidata.org/entity/Q506693,https://www.wikidata.org/wiki/Q506693,correct,historical successor state OK (label=Levice)
urn:voices:place:ljubljana-yugoslavia,Ljubljana Yugoslavia,wikidata,https://www.wikidata.org/entity/Q437,https://www.wikidata.org/wiki/Q437,correct,historical successor state OK (label=Ljubljana)
